probe_person,gallery_person,probe_image,label,quality_score,best_similarity,margin
ca si╠â Emily,ca si╠â Emily,1671998422238469000.jpg,1,17.69832992553711,0.33846208,0.111327276
ca si╠â Emily,ca si╠â Anh Tho╠¢,1671998422238469000.jpg,0,17.69832992553711,0.22713481,0.111327276
ca si╠â Enrique Iglesias,ca si╠â Enrique Iglesias,1671998547884972000.jpg,1,18.08473014831543,0.46440524,0.27643418
ca si╠â Enrique Iglesias,ca si╠â Kyo York,1671998547884972000.jpg,0,18.08473014831543,0.18797104,0.27643418
ca si╠â Erik,ca si╠â Erik,1671998290303526000.jpg,1,18.381046295166016,0.21089849,0.03703803
ca si╠â Erik,ca si╠â Ho╠é╠Ç Ngo╠úc Ha╠Ç,1671998290303526000.jpg,0,18.381046295166016,0.26011938,0.03703803
ca si╠â Fanny Tra╠é╠Çn,ca si╠â Fanny Tra╠é╠Çn,1671998186591776000.jpg,1,17.79047203063965,0.10209643,0.066352636
ca si╠â Fanny Tra╠é╠Çn,ca si╠â Suni Ha╠ú Linh,1671998186591776000.jpg,0,17.79047203063965,0.24688038,0.066352636
ca si╠â Gin Tua╠é╠ün Kie╠ú╠ét,ca si╠â Gin Tua╠é╠ün Kie╠ú╠ét,1671998236266831000.jpg,1,18.874176025390625,0.21143457,0.004589498
ca si╠â Gin Tua╠é╠ün Kie╠ú╠ét,ca si╠â Ho╠é╠Ç Va╠ån Cu╠¢o╠¢╠Çng,1671998236266831000.jpg,0,18.874176025390625,0.2568564,0.004589498
ca si╠â Ha╠Ç Anh Tua╠é╠ün,ca si╠â Ha╠Ç Anh Tua╠é╠ün,1671998471078926000.jpg,1,17.427234649658203,0.30868703,0.074919984
ca si╠â Ha╠Ç Anh Tua╠é╠ün,ca si╠â Karik,1671998471078926000.jpg,0,17.427234649658203,0.23376705,0.074919984
ca si╠â Ha╠Ç Thanh Xua╠én,ca si╠â Ha╠Ç Thanh Xua╠én,1671998247138982000.jpg,1,20.15914535522461,0.33205113,0.060139835
ca si╠â Ha╠Ç Thanh Xua╠én,ca si╠â Saka Tru╠¢o╠¢ng Tuye╠é╠Çn,1671998247138982000.jpg,0,20.15914535522461,0.2719113,0.060139835
ca si╠â Ha╠ëi Ba╠ång,ca si╠â Ha╠ëi Ba╠ång,1671998279368534000.jpg,1,19.232349395751953,0.28330457,0.08266893
ca si╠â Ha╠ëi Ba╠ång,ca si╠â Jang Mi,1671998279368534000.jpg,0,19.232349395751953,0.416011,0.08266893
ca si╠â Hoa╠Çi La╠ém,ca si╠â Hoa╠Çi La╠ém,1671998217222209000.jpg,1,14.461199760437012,0.14007257,0.050317973
ca si╠â Hoa╠Çi La╠ém,ca si╠â ─Éo╠éng Nhi,1671998217222209000.jpg,0,14.461199760437012,0.33137676,0.050317973
ca si╠â Hoa╠Çng Thu╠Çy Linh,ca si╠â Hoa╠Çng Thu╠Çy Linh,1671998254682808000.jpg,1,17.064815521240234,0.21220374,0.02267629
ca si╠â Hoa╠Çng Thu╠Çy Linh,ca si╠â ─Éo╠éng Nhi,1671998254682808000.jpg,0,17.064815521240234,0.34728217,0.02267629
ca si╠â Hoa╠Çng Ye╠é╠ün Chibi,ca si╠â Hoa╠Çng Ye╠é╠ün Chibi,1671998201549082000.jpg,1,25.368175506591797,0.15089193,0.026921004
ca si╠â Hoa╠Çng Ye╠é╠ün Chibi,ca si╠â Ho╠é╠Ç Quy╠Çnh Hu╠¢o╠¢ng,1671998201549082000.jpg,0,25.368175506591797,0.25181383,0.026921004
ca si╠â Ho╠Ça Minzy,ca si╠â Ho╠Ça Minzy,1671998177301793000.jpg,1,18.64749526977539,0.25720304,0.012146771
ca si╠â Ho╠Ça Minzy,ca si╠â Doa╠ân Hie╠é╠üu,1671998177301793000.jpg,0,18.64749526977539,0.2693498,0.012146771
ca si╠â Ho╠é╠Ç Ngo╠úc Ha╠Ç,ca si╠â Ho╠é╠Ç Ngo╠úc Ha╠Ç,1671998337873546000.jpg,1,27.514751434326172,0.2547698,0.0035493374
ca si╠â Ho╠é╠Ç Ngo╠úc Ha╠Ç,ca si╠â Min,1671998337873546000.jpg,0,27.514751434326172,0.25831914,0.0035493374
ca si╠â Ho╠é╠Ç Quang Hie╠é╠üu,ca si╠â Ho╠é╠Ç Quang Hie╠é╠üu,1671998172897918000.jpg,1,19.896114349365234,0.25878018,0.016373456
ca si╠â Ho╠é╠Ç Quang Hie╠é╠üu,ca si╠â O╠éng Cao Tha╠å╠üng,1671998172897918000.jpg,0,19.896114349365234,0.27515364,0.016373456
ca si╠â Ho╠é╠Ç Quy╠Çnh Hu╠¢o╠¢ng,ca si╠â Ho╠é╠Ç Quy╠Çnh Hu╠¢o╠¢ng,1671998463356426000.jpg,1,18.179790496826172,0.40024847,0.09728581
ca si╠â Ho╠é╠Ç Quy╠Çnh Hu╠¢o╠¢ng,ca si╠â Phu╠¢o╠¢ng Trinh Jolie,1671998463356426000.jpg,0,18.179790496826172,0.30296266,0.09728581
ca si╠â Ho╠é╠Ç Va╠ån Cu╠¢o╠¢╠Çng,ca si╠â Ho╠é╠Ç Va╠ån Cu╠¢o╠¢╠Çng,1671998393902258000.jpg,1,21.25551986694336,0.271922,0.023135066
ca si╠â Ho╠é╠Ç Va╠ån Cu╠¢o╠¢╠Çng,ca si╠â Ba╠å╠Çng Kie╠é╠Çu,1671998393902258000.jpg,0,21.25551986694336,0.24878693,0.023135066
ca si╠â Jang Mi,ca si╠â Jang Mi,1671998344205207000.jpg,1,21.58918571472168,0.22779384,0.00968805
ca si╠â Jang Mi,ca si╠â Kho╠¢╠ëi My,1671998344205207000.jpg,0,21.58918571472168,0.23748189,0.00968805
ca si╠â Justatee,ca si╠â Justatee,1671998416625701000.jpg,1,21.652164459228516,0.10306438,0.015257686
ca si╠â Justatee,ca si╠â Bu╠Çi Anh Tua╠é╠ün,1671998416625701000.jpg,0,21.652164459228516,0.26490748,0.015257686
ca si╠â K Icm,ca si╠â K Icm,1671998320957463000.jpg,1,17.391939163208008,0.39186203,0.16853812
ca si╠â K Icm,ca si╠â Bigdaddy,1671998320957463000.jpg,0,17.391939163208008,0.22332391,0.16853812
ca si╠â Karik,ca si╠â Karik,1671998237932941000.jpg,1,21.203521728515625,0.22651875,0.025710091
ca si╠â Karik,ca si╠â Ha╠Ç Anh Tua╠é╠ün,1671998237932941000.jpg,0,21.203521728515625,0.20080866,0.025710091
ca si╠â Kelvin Kha╠ünh,ca si╠â Kelvin Kha╠ünh,1671998480376269000.jpg,1,18.447708129882812,0.047153115,0.026739568
ca si╠â Kelvin Kha╠ünh,ca si╠â La╠ém Cha╠é╠ün Huy,1671998480376269000.jpg,0,18.447708129882812,0.28137663,0.026739568
ca si╠â Kha╠ünh Phu╠¢o╠¢ng,ca si╠â Kha╠ünh Phu╠¢o╠¢ng,1671998553146195000.jpg,1,18.783252716064453,0.1815742,0.008304805
ca si╠â Kha╠ünh Phu╠¢o╠¢ng,ca si╠â ─Éa╠ång Kho╠éi,1671998553146195000.jpg,0,18.783252716064453,0.20330298,0.008304805
ca si╠â Kho╠¢╠ëi My,ca si╠â Kho╠¢╠ëi My,1671998378699789000.jpg,1,16.573278427124023,0.4407688,0.2252275
ca si╠â Kho╠¢╠ëi My,ca si╠â To╠üc Tie╠én,1671998378699789000.jpg,0,16.573278427124023,0.2155413,0.2252275
ca si╠â Kho╠é╠ëng Tu╠ü Quy╠Çnh,ca si╠â Kho╠é╠ëng Tu╠ü Quy╠Çnh,1671998320142065000.jpg,1,14.862696647644043,0.16655861,0.014645249
ca si╠â Kho╠é╠ëng Tu╠ü Quy╠Çnh,ca si╠â Ho╠Ça Minzy,1671998320142065000.jpg,0,14.862696647644043,0.2206476,0.014645249
ca si╠â Kyo York,ca si╠â Kyo York,1671998443161279000.jpg,1,20.88568878173828,0.303996,0.11515385
ca si╠â Kyo York,ca si╠â Jang Mi,1671998443161279000.jpg,0,20.88568878173828,0.18884215,0.11515385
ca si╠â Lam Tru╠¢o╠¢╠Çng,ca si╠â Lam Tru╠¢o╠¢╠Çng,1671998346853373000.jpg,1,16.99810028076172,0.2778695,0.036263153
ca si╠â Lam Tru╠¢o╠¢╠Çng,ca si╠â ─Éa╠ång Kho╠éi,1671998346853373000.jpg,0,16.99810028076172,0.24160634,0.036263153
ca si╠â La╠ém Cha╠é╠ün Huy,ca si╠â La╠ém Cha╠é╠ün Huy,1671998362443061000.jpg,1,19.691307067871094,0.19480218,0.027395487
ca si╠â La╠ém Cha╠é╠ün Huy,ca si╠â Du╠¢o╠¢ng Trie╠ú╠éu Vu╠â,1671998362443061000.jpg,0,19.691307067871094,0.25199908,0.027395487
ca si╠â Leg,ca si╠â Leg,1671998194253357000.jpg,1,25.71697998046875,0.09701439,0.069503516
ca si╠â Leg,ca si╠â Quang La╠ú╠ép,1671998194253357000.jpg,0,25.71697998046875,0.32648498,0.069503516
ca si╠â Le╠é Ba╠ëo Bi╠Çnh,ca si╠â Le╠é Ba╠ëo Bi╠Çnh,1671998171087698000.jpg,1,18.02695655822754,0.20859882,0.021484062
ca si╠â Le╠é Ba╠ëo Bi╠Çnh,ca si╠â Soobin Hoa╠Çng So╠¢n,1671998171087698000.jpg,0,18.02695655822754,0.26165903,0.021484062
ca si╠â Luna ─Éa╠Ço,ca si╠â Luna ─Éa╠Ço,1671998549125651000.jpg,1,16.914276123046875,0.39428413,0.0795331
ca si╠â Luna ─Éa╠Ço,ca si╠â Ho╠Ça Minzy,1671998549125651000.jpg,0,16.914276123046875,0.31475103,0.0795331
ca si╠â Lu╠¢o╠¢ng Bi╠üch Hu╠¢╠âu,ca si╠â Lu╠¢o╠¢ng Bi╠üch Hu╠¢╠âu,1671998428902912000.jpg,1,17.928749084472656,0.204599,0.009007275
ca si╠â Lu╠¢o╠¢ng Bi╠üch Hu╠¢╠âu,ca si╠â Thu╠Çy Chi,1671998428902912000.jpg,0,17.928749084472656,0.2300191,0.009007275
ca si╠â Lynk Lee,ca si╠â Lynk Lee,1671998292811341000.jpg,1,22.965560913085938,0.26374626,0.054451317
ca si╠â Lynk Lee,ca si╠â Min,1671998292811341000.jpg,0,22.965560913085938,0.20929495,0.054451317
ca si╠â Ly╠ü Ha╠ëi,ca si╠â Ly╠ü Ha╠ëi,1671998234155353000.jpg,1,16.141807556152344,0.3876927,0.17647381
ca si╠â Ly╠ü Ha╠ëi,ca si╠â ─Éan Tru╠¢o╠¢╠Çng,1671998234155353000.jpg,0,16.141807556152344,0.21121888,0.17647381
ca si╠â Ma╠únh Quy╠Çnh,ca si╠â Ma╠únh Quy╠Çnh,1671998159258780000.jpg,1,19.438232421875,0.42230558,0.09635222
ca si╠â Ma╠únh Quy╠Çnh,ca si╠â Soobin Hoa╠Çng So╠¢n,1671998159258780000.jpg,0,19.438232421875,0.32595336,0.09635222
ca si╠â Min,ca si╠â Min,1671998252537464000.jpg,1,15.900299072265625,0.19857949,0.0027156025
ca si╠â Min,ca si╠â Ho╠Ça Minzy,1671998252537464000.jpg,0,15.900299072265625,0.21754305,0.0027156025
ca si╠â Minh Ha╠å╠Çng,ca si╠â Minh Ha╠å╠Çng,1671998326947660000.jpg,1,22.82350730895996,0.4860761,0.26457626
ca si╠â Minh Ha╠å╠Çng,ca si╠â Ho╠é╠Ç Ngo╠úc Ha╠Ç,1671998326947660000.jpg,0,22.82350730895996,0.22149983,0.26457626
ca si╠â Minh Vu╠¢o╠¢ng,ca si╠â Minh Vu╠¢o╠¢ng,1671998226040542000.jpg,1,15.87076187133789,0.20661256,0.0142297
ca si╠â Minh Vu╠¢o╠¢ng,ca si╠â O╠éng Cao Tha╠å╠üng,1671998226040542000.jpg,0,15.87076187133789,0.24898715,0.0142297
ca si╠â Miu Le╠é,ca si╠â Miu Le╠é,1671998439533228000.jpg,1,18.07351303100586,0.4814936,0.22155339
ca si╠â Miu Le╠é,ca si╠â Minh Ha╠å╠Çng,1671998439533228000.jpg,0,18.07351303100586,0.2599402,0.22155339
ca si╠â Mr. Siro,ca si╠â Mr. Siro,1671998385835842000.jpg,1,16.040374755859375,0.3230757,0.012822986
ca si╠â Mr. Siro,ca si╠â Di╠úch Du╠¢o╠¢ng Thie╠én Ti╠ë,1671998385835842000.jpg,0,16.040374755859375,0.36283845,0.012822986
ca si╠â My╠â Ta╠ém,ca si╠â My╠â Ta╠ém,1671998157856812000.jpg,1,22.26944351196289,0.32984892,0.063001364
ca si╠â My╠â Ta╠ém,ca si╠â ─Éo╠éng Nhi,1671998157856812000.jpg,0,22.26944351196289,0.26684755,0.063001364
ca si╠â Ngo╠é Kie╠é╠ün Huy,ca si╠â Ngo╠é Kie╠é╠ün Huy,1671998451899822000.jpg,1,16.719560623168945,0.19472438,0.0015775412
ca si╠â Ngo╠é Kie╠é╠ün Huy,ca si╠â Min,1671998451899822000.jpg,0,16.719560623168945,0.23526852,0.0015775412
ca si╠â Nguye╠é╠ân Hu╠¢o╠¢ng Ly,ca si╠â Nguye╠é╠ân Hu╠¢o╠¢ng Ly,1671998312950018000.jpg,1,16.104490280151367,0.19319054,0.05230859
ca si╠â Nguye╠é╠ân Hu╠¢o╠¢ng Ly,ca si╠â Ha╠ëi Ba╠ång,1671998312950018000.jpg,0,16.104490280151367,0.3589674,0.05230859
ca si╠â Nguye╠é╠ân Va╠ån Sy╠â,ca si╠â Nguye╠é╠ân Va╠ån Sy╠â,1671998445043447000.jpg,1,17.78414535522461,0.12920216,0.0073217303
ca si╠â Nguye╠é╠ân Va╠ån Sy╠â,ca si╠â Ba╠ëo Anh,1671998445043447000.jpg,0,17.78414535522461,0.12188043,0.0073217303
ca si╠â Nha╠ú╠ét Kim Anh,ca si╠â Nha╠ú╠ét Kim Anh,1671998379740564000.jpg,1,20.41012954711914,0.28423828,0.041329563
ca si╠â Nha╠ú╠ét Kim Anh,ca si╠â Thu╠¢o╠¢ng Vo╠â,1671998379740564000.jpg,0,20.41012954711914,0.24290872,0.041329563
ca si╠â Nhu╠¢ Quy╠Çnh,ca si╠â Nhu╠¢ Quy╠Çnh,1671998359178047000.jpg,1,19.844463348388672,0.26622093,0.0028694868
ca si╠â Nhu╠¢ Quy╠Çnh,ca si╠â Ha╠Ç Thanh Xua╠én,1671998359178047000.jpg,0,19.844463348388672,0.27667075,0.0028694868
ca si╠â O╠éng Cao Tha╠å╠üng,ca si╠â O╠éng Cao Tha╠å╠üng,1671998286734291000.jpg,1,15.466414451599121,0.5304051,0.26358962
ca si╠â O╠éng Cao Tha╠å╠üng,ca si╠â ─Éa╠ång Kho╠éi,1671998286734291000.jpg,0,15.466414451599121,0.26681548,0.26358962
ca si╠â Phi Nhung,ca si╠â Phi Nhung,1671998264490907000.jpg,1,19.96063232421875,0.4997606,0.24511677
ca si╠â Phi Nhung,ca si╠â Ho╠é╠Ç Ngo╠úc Ha╠Ç,1671998264490907000.jpg,0,19.96063232421875,0.25464383,0.24511677
ca si╠â Phu╠¢o╠¢ng My╠â Chi,ca si╠â Phu╠¢o╠¢ng My╠â Chi,1671998227553433000.jpg,1,18.59741973876953,0.2052093,0.01713039
ca si╠â Phu╠¢o╠¢ng My╠â Chi,ca si╠â Ha╠ëi Ba╠ång,1671998227553433000.jpg,0,18.59741973876953,0.26546657,0.01713039
ca si╠â Phu╠¢o╠¢ng Thanh,ca si╠â Phu╠¢o╠¢ng Thanh,1671998268911402000.jpg,1,20.14852523803711,0.38161802,0.19936872
ca si╠â Phu╠¢o╠¢ng Thanh,ca si╠â My╠â Ta╠ém,1671998268911402000.jpg,0,20.14852523803711,0.18224931,0.19936872
ca si╠â Phu╠¢o╠¢ng Trinh Jolie,ca si╠â Phu╠¢o╠¢ng Trinh Jolie,1671998272800115000.jpg,1,25.96890640258789,0.28211868,0.015614152
ca si╠â Phu╠¢o╠¢ng Trinh Jolie,ca si╠â To╠üc Tie╠én,1671998272800115000.jpg,0,25.96890640258789,0.29773283,0.015614152
ca si╠â Quang La╠ú╠ép,ca si╠â Quang La╠ú╠ép,1671998400675409000.jpg,1,16.2291259765625,0.36608392,0.123334244
ca si╠â Quang La╠ú╠ép,ca si╠â La╠ém Cha╠é╠ün Huy,1671998400675409000.jpg,0,16.2291259765625,0.24274968,0.123334244
ca si╠â Quang Le╠é,ca si╠â Quang Le╠é,1671998246354407000.jpg,1,17.550357818603516,0.26541394,0.020087272
ca si╠â Quang Le╠é,ca si╠â K Icm,1671998246354407000.jpg,0,17.550357818603516,0.24532667,0.020087272
ca si╠â Rhymastic,ca si╠â Rhymastic,1671998334946971000.jpg,1,21.424591064453125,0.16771366,0.0020726025
ca si╠â Rhymastic,ca si╠â Suboi,1671998334946971000.jpg,0,21.424591064453125,0.27220124,0.0020726025
ca si╠â S.T So╠¢n Tha╠úch,ca si╠â S.T So╠¢n Tha╠úch,1671998189308687000.jpg,1,16.772266387939453,0.16361457,0.009855628
ca si╠â S.T So╠¢n Tha╠úch,ca si╠â Kho╠é╠ëng Tu╠ü Quy╠Çnh,1671998189308687000.jpg,0,16.772266387939453,0.34100407,0.009855628
ca si╠â Saka Tru╠¢o╠¢ng Tuye╠é╠Çn,ca si╠â Saka Tru╠¢o╠¢ng Tuye╠é╠Çn,1671998297918567000.jpg,1,16.763700485229492,0.33271992,0.01949519
ca si╠â Saka Tru╠¢o╠¢ng Tuye╠é╠Çn,ca si╠â Bi╠üch Phu╠¢o╠¢ng,1671998297918567000.jpg,0,16.763700485229492,0.31322473,0.01949519
ca si╠â Si╠â Thanh,ca si╠â Si╠â Thanh,1671998198533304000.jpg,1,18.236446380615234,0.029957317,0.007645428
ca si╠â Si╠â Thanh,ca si╠â Du╠¢o╠¢ng Trie╠ú╠éu Vu╠â,1671998198533304000.jpg,0,18.236446380615234,0.19777688,0.007645428
ca si╠â Soobin,ca si╠â Soobin,1671998466728730000.jpg,1,18.176786422729492,0.22221848,0.001673162
ca si╠â Soobin,ca si╠â ─Éinh Duy Chinh,1671998466728730000.jpg,0,18.176786422729492,0.22054532,0.001673162
ca si╠â Soobin Hoa╠Çng So╠¢n,ca si╠â Soobin Hoa╠Çng So╠¢n,1671998163762880000.jpg,1,19.467761993408203,0.042804167,0.11009437
ca si╠â Soobin Hoa╠Çng So╠¢n,ca si╠â Soobin,1671998163762880000.jpg,0,19.467761993408203,0.2812282,0.11009437
ca si╠â So╠¢n Tu╠Çng,ca si╠â So╠¢n Tu╠Çng,1671998545234808000.jpg,1,20.85193634033203,0.2504832,0.035217196
ca si╠â So╠¢n Tu╠Çng,ca si╠â Chi Da╠én,1671998545234808000.jpg,0,20.85193634033203,0.30180266,0.035217196
ca si╠â Suboi,ca si╠â Suboi,1671998341948113000.jpg,1,22.90729522705078,0.30845293,0.11356847
ca si╠â Suboi,ca si╠â Ca╠é╠ëm Ly,1671998341948113000.jpg,0,22.90729522705078,0.19488446,0.11356847
ca si╠â Suni Ha╠ú Linh,ca si╠â Suni Ha╠ú Linh,1671998435596856000.jpg,1,20.04214096069336,0.4075151,0.18692648
ca si╠â Suni Ha╠ú Linh,ca si╠â Ho╠Ça Minzy,1671998435596856000.jpg,0,20.04214096069336,0.22058862,0.18692648
ca si╠â Thanh Duy,ca si╠â Thanh Duy,1671998258801718000.jpg,1,23.177841186523438,0.030238219,0.012583017
ca si╠â Thanh Duy,ca si╠â Ma╠únh Quy╠Çnh,1671998258801718000.jpg,0,23.177841186523438,0.25581208,0.012583017
ca si╠â Thie╠é╠Çu Ba╠ëo Tra╠ém,ca si╠â Thie╠é╠Çu Ba╠ëo Tra╠ém,1671998473234533000.jpg,1,16.53323745727539,0.07785845,0.16521564
ca si╠â Thie╠é╠Çu Ba╠ëo Tra╠ém,ca si╠â Chi Da╠én,1671998473234533000.jpg,0,16.53323745727539,0.39651188,0.16521564
ca si╠â Thu Minh,ca si╠â Thu Minh,1671998490021655000.jpg,1,18.765056610107422,0.41040695,0.19315608
ca si╠â Thu Minh,ca si╠â Lu╠¢o╠¢ng Bi╠üch Hu╠¢╠âu,1671998490021655000.jpg,0,18.765056610107422,0.21725087,0.19315608
ca si╠â Thuy╠ë Tie╠én,ca si╠â Thuy╠ë Tie╠én,1671998554884026000.jpg,1,17.608552932739258,0.14865512,0.032764554
ca si╠â Thuy╠ë Tie╠én,ca si╠â Ha╠Ç Thanh Xua╠én,1671998554884026000.jpg,0,17.608552932739258,0.26095167,0.032764554
ca si╠â Thu╠¢o╠¢ng Vo╠â,ca si╠â Thu╠¢o╠¢ng Vo╠â,1671998309750554000.jpg,1,14.705705642700195,0.15649113,0.05840391
ca si╠â Thu╠¢o╠¢ng Vo╠â,ca si╠â La╠ém Cha╠é╠ün Huy,1671998309750554000.jpg,0,14.705705642700195,0.36602718,0.05840391
ca si╠â Thu╠Çy Chi,ca si╠â Thu╠Çy Chi,1671998371957883000.jpg,1,18.065814971923828,0.31496996,0.07239415
ca si╠â Thu╠Çy Chi,ca si╠â Doa╠ân Hie╠é╠üu,1671998371957883000.jpg,0,18.065814971923828,0.24257581,0.07239415
ca si╠â Tie╠é╠üt Chi Khie╠ém,ca si╠â Tie╠é╠üt Chi Khie╠ém,1671998450115498000.jpg,1,18.850934982299805,0.22562067,0.062237233
ca si╠â Tie╠é╠üt Chi Khie╠ém,ca si╠â So╠¢n Tu╠Çng,1671998450115498000.jpg,0,18.850934982299805,0.33861867,0.062237233
ca si╠â To╠üc Tie╠én,ca si╠â To╠üc Tie╠én,1671998348139138000.jpg,1,18.814476013183594,0.52822155,0.29253134
ca si╠â To╠üc Tie╠én,ca si╠â Nguye╠é╠ân Hu╠¢o╠¢ng Ly,1671998348139138000.jpg,0,18.814476013183594,0.2356902,0.29253134
ca si╠â Tri╠únh Tha╠ång Bi╠Çnh,ca si╠â Tri╠únh Tha╠ång Bi╠Çnh,1671998303421718000.jpg,1,19.83664321899414,0.07965562,0.01341334
ca si╠â Tri╠únh Tha╠ång Bi╠Çnh,ca si╠â S.T So╠¢n Tha╠úch,1671998303421718000.jpg,0,19.83664321899414,0.26070517,0.01341334
ca si╠â Tru╠¢o╠¢ng Kie╠ú╠ét,ca si╠â Tru╠¢o╠¢ng Kie╠ú╠ét,1671998208059224000.jpg,1,19.37684440612793,0.15732822,0.008438572
ca si╠â Tru╠¢o╠¢ng Kie╠ú╠ét,ca si╠â K Icm,1671998208059224000.jpg,0,19.37684440612793,0.24396814,0.008438572
ca si╠â Tru╠¢o╠¢ng Quy╠Çnh Anh,ca si╠â Tru╠¢o╠¢ng Quy╠Çnh Anh,1671998402639010000.jpg,1,16.884292602539062,0.34503633,0.04490307
ca si╠â Tru╠¢o╠¢ng Quy╠Çnh Anh,ca si╠â Nha╠ú╠ét Kim Anh,1671998402639010000.jpg,0,16.884292602539062,0.30013326,0.04490307
ca si╠â Tru╠¢o╠¢ng The╠é╠ü Vinh,ca si╠â Tru╠¢o╠¢ng The╠é╠ü Vinh,1671998210610973000.jpg,1,21.58547592163086,0.36951825,0.11347899
